,Source,Sample No.,Experiment type,Experiment kinematics,Confining pressure (MPa),Comment on published mechanical data,Comment on extra unpublished data ,Use strain-rate minimum or peak stress data?,Use tertiary creep or flow stress data?,Sample initial geometry,Sample initial diameter for compression (mm),Sample initial length for compression (mm),Sample length for shear (mm),sample width for shear (mm),sample height for shear (mm),T,T upper bound,T lower bound,Comment on T error,Grain size unit: diameter (D) or area (A),Initial median grain size D: (µm); A (µm^2),Initial grain size lower bound D: (µm); A (µm^2),Initial grain size upper bound D: (µm); A (µm^2),Method for grain size measurement,Grain size error comment,Technique used to collect microstructural data,Resolution,Strain at minimum rate/ peak stress as published,"Published strain type: Octahedral shear (O), Axial (A), Shear (S)?",True (T) or engineering (E) strain?,Stress (MPa) at minimum rate/ peak stress as published,"Published stress type: Octahedral shear (O), Axial (A), Shear (S)?",Strain and stress Error Comments,"Published strain rate type: Octahedral shear (O), Axial (A), Shear (S)?","If Axial, True (T) or engineering (E) strain rate?",Strain rate (/s) at minimum rate/ peak stress as published,Strain rate lower bound,Strain rate upper bound,Comment on rate error,Microstructural data at minimum rate/ peak stress,Grain size scale: diameter (D)? Area (A),Mean grain size  D: (µm); A (µm2) at minimum rate/ peak stress,Median grain size  D: (µm); A (µm2) at minimum rate/ peak stress,Grain size lower bound D: (µm); A (µm2) at minimum rate/ peak stress,Comment on measurement error of grain size,Bulk reduced Schmid factor at minimum rate/ peak stress,Comment on bulk reduced Schmid factor ,Comment on sample geometry,Strain at tertiary strain rate/ flow stress as published,"If Axial, True (T) or engineering (E) strain?",Stress (MPa) at tertiary strain rate/ flow stress as published,Stress lower bound,Stress upper bound,Comment on strain and stress error,True (T) or engineering (E) strain rate?,Strain rate (/s) at tertiary strain rate/ flow stress as published,Comment on strain rate error,Microstructural data at tertiary strain rate/ flow stress,Mean grain size  D: (µm); A (µm2) at tertiary strain rate/ flow stress,Median grain size  D: (µm); A (µm2) at tertiary strain rate/ flow stress,Grain size lower bound D: (µm); A (µm2) at tertiary strain rate/ flow stress,Bulk reduced Schmid factor at tertiary strain rate/ flow stress,Bulk reduced Schmid factor comment
288,Jacka (1994),N/A,Constant stress,Simple shear,0,"No creep curve, Summary data in a table (Table 3). No detailed strain data.",N/A,YES,NO,Rectangular prism,N/A,N/A,42.5,10.04,19.94,-2,-1.9,-2.1,"Short time (10s) of 0.01K. Long time <0.1K. (Morgan, 1979; Jacka, 1984b)",D,1700,1500,1900,Number of grain per unit area (page 151),N/A,Jacka & Lile (1984) (page 151),N/A,N/A,N/A,E,0.2,N/A,N/A,N/A,E,2.30E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
289,Jacka (1994),N/A,Constant stress,Simple shear,0,"No creep curve, Summary data in a table (Table 3). No detailed strain data.",N/A,YES,NO,Rectangular prism,N/A,N/A,63.6,9.42,15.98,-2,-1.9,-2.1,"Short time (10s) of 0.01K. Long time <0.1K. (Morgan, 1979; Jacka, 1984b)",D,1700,1500,1900,Number of grain per unit area (page 151),N/A,Jacka & Lile (1984) (page 151),N/A,N/A,N/A,E,0.2,N/A,N/A,N/A,E,2.00E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
290,Jacka (1994),N/A,Constant stress,Simple shear,0,"No creep curve, Summary data in a table (Table 3). No detailed strain data.",N/A,YES,NO,Rectangular prism,N/A,N/A,81.25,9.48,20.52,-2,-1.9,-2.1,"Short time (10s) of 0.01K. Long time <0.1K. (Morgan, 1979; Jacka, 1984b)",D,1700,1500,1900,Number of grain per unit area (page 151),N/A,Jacka & Lile (1984) (page 151),N/A,N/A,N/A,E,0.2,N/A,N/A,N/A,E,1.30E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
291,Jacka (1994),N/A,Constant stress,Simple shear,0,"No creep curve, Summary data in a table (Table 3). No detailed strain data.",N/A,YES,NO,Rectangular prism,N/A,N/A,98.7,10.1,21.55,-2,-1.9,-2.1,"Short time (10s) of 0.01K. Long time <0.1K. (Morgan, 1979; Jacka, 1984b)",D,1700,1500,1900,Number of grain per unit area (page 151),N/A,Jacka & Lile (1984) (page 151),N/A,N/A,N/A,E,0.2,N/A,N/A,N/A,E,2.50E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
292,Jacka (1994),N/A,Constant stress,Simple shear,0,"No creep curve, Summary data in a table (Table 3). No detailed strain data.",N/A,YES,NO,Rectangular prism,N/A,N/A,123.18,9.21,20.87,-2,-1.9,-2.1,"Short time (10s) of 0.01K. Long time <0.1K. (Morgan, 1979; Jacka, 1984b)",D,1700,1500,1900,Number of grain per unit area (page 151),N/A,Jacka & Lile (1984) (page 151),N/A,N/A,N/A,E,0.2,N/A,N/A,N/A,E,1.40E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
293,Jacka (1994),N/A,Constant stress,Simple shear,0,"No creep curve, Summary data in a table (Table 3). No detailed strain data.",N/A,YES,NO,Rectangular prism,N/A,N/A,136.76,7.44,20.3,-2,-1.9,-2.1,"Short time (10s) of 0.01K. Long time <0.1K. (Morgan, 1979; Jacka, 1984b)",D,1700,1500,1900,Number of grain per unit area (page 151),N/A,Jacka & Lile (1984) (page 151),N/A,N/A,N/A,E,0.2,N/A,N/A,N/A,E,1.10E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
294,Jacka (1994),N/A,Constant stress,Simple shear,0,"No creep curve, Summary data in a table (Table 3). No detailed strain data.",N/A,YES,NO,Rectangular prism,N/A,N/A,146.02,10.09,20.96,-2,-1.9,-2.1,"Short time (10s) of 0.01K. Long time <0.1K. (Morgan, 1979; Jacka, 1984b)",D,1700,1500,1900,Number of grain per unit area (page 151),N/A,Jacka & Lile (1984) (page 151),N/A,N/A,N/A,E,0.2,N/A,N/A,N/A,E,1.50E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
295,Jacka (1994),N/A,Constant stress,Simple shear,0,"No creep curve, Summary data in a table (Table 3). No detailed strain data.",N/A,YES,NO,Rectangular prism,N/A,N/A,146.77,8.5,20.5,-2,-1.9,-2.1,"Short time (10s) of 0.01K. Long time <0.1K. (Morgan, 1979; Jacka, 1984b)",D,1700,1500,1900,Number of grain per unit area (page 151),N/A,Jacka & Lile (1984) (page 151),N/A,N/A,N/A,E,0.2,N/A,N/A,N/A,E,1.10E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
296,Jacka (1994),N/A,Constant stress,Simple shear,0,"No creep curve, Summary data in a table (Table 3). No detailed strain data.",N/A,YES,NO,Rectangular prism,N/A,N/A,39.75,19.75,9.85,-2,-1.9,-2.1,"Short time (10s) of 0.01K. Long time <0.1K. (Morgan, 1979; Jacka, 1984b)",D,1700,1500,1900,Number of grain per unit area (page 151),N/A,Jacka & Lile (1984) (page 151),N/A,N/A,N/A,E,0.2,N/A,N/A,N/A,E,2.80E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
297,Jacka (1994),N/A,Constant stress,Simple shear,0,"No creep curve, Summary data in a table (Table 3). No detailed strain data.",N/A,YES,NO,Rectangular prism,N/A,N/A,37.94,20.92,16.5,-2,-1.9,-2.1,"Short time (10s) of 0.01K. Long time <0.1K. (Morgan, 1979; Jacka, 1984b)",D,1700,1500,1900,Number of grain per unit area (page 151),N/A,Jacka & Lile (1984) (page 151),N/A,N/A,N/A,E,0.2,N/A,N/A,N/A,E,1.30E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
