,Source,Sample No.,Experiment type,Experiment kinematics,Confining pressure (MPa),Comment on published mechanical data,Comment on extra unpublished data ,Use strain-rate minimum or peak stress data?,Use tertiary creep or flow stress data?,Sample initial geometry,Sample initial diameter for compression (mm),Sample initial length for compression (mm),Sample length for shear (mm),sample width for shear (mm),sample height for shear (mm),T,T upper bound,T lower bound,Comment on T error,Grain size unit: diameter (D) or area (A),Initial median grain size D: (µm); A (µm^2),Initial grain size lower bound D: (µm); A (µm^2),Initial grain size upper bound D: (µm); A (µm^2),Method for grain size measurement,Grain size error comment,Technique used to collect microstructural data,Resolution,Strain at minimum rate/ peak stress as published,"Published strain type: Octahedral shear (O), Axial (A), Shear (S)?",True (T) or engineering (E) strain?,Stress (MPa) at minimum rate/ peak stress as published,"Published stress type: Octahedral shear (O), Axial (A), Shear (S)?",Strain and stress Error Comments,"Published strain rate type: Octahedral shear (O), Axial (A), Shear (S)?","If Axial, True (T) or engineering (E) strain rate?",Strain rate (/s) at minimum rate/ peak stress as published,Strain rate lower bound,Strain rate upper bound,Comment on rate error,Microstructural data at minimum rate/ peak stress,Grain size scale: diameter (D)? Area (A),Mean grain size  D: (µm); A (µm2) at minimum rate/ peak stress,Median grain size  D: (µm); A (µm2) at minimum rate/ peak stress,Grain size lower bound D: (µm); A (µm2) at minimum rate/ peak stress,Comment on measurement error of grain size,Bulk reduced Schmid factor at minimum rate/ peak stress,Comment on bulk reduced Schmid factor ,Comment on sample geometry,Strain at tertiary strain rate/ flow stress as published,"If Axial, True (T) or engineering (E) strain?",Stress (MPa) at tertiary strain rate/ flow stress as published,Stress lower bound,Stress upper bound,Comment on strain and stress error,True (T) or engineering (E) strain rate?,Strain rate (/s) at tertiary strain rate/ flow stress as published,Comment on strain rate error,Microstructural data at tertiary strain rate/ flow stress,Mean grain size  D: (µm); A (µm2) at tertiary strain rate/ flow stress,Median grain size  D: (µm); A (µm2) at tertiary strain rate/ flow stress,Grain size lower bound D: (µm); A (µm2) at tertiary strain rate/ flow stress,Bulk reduced Schmid factor at tertiary strain rate/ flow stress,Bulk reduced Schmid factor comment
0,Glen (1955),Beta,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,0,0.03,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.16,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,8.75E-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
1,Glen (1955),Gamma,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,0,0.03,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.07,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,5.61E-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
2,Glen (1955),Gamma',Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,0,0.03,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.16,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,5.90E-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3,Glen (1955),Gamma'',Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,0,0.03,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.24,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,7.36E-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
4,Glen (1955),Delta,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,0,0.03,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.07,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,2.06E-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
5,Glen (1955),Epsilon,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,NO,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.09,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,9.20E-09,N/A,N/A,Had not reached steady state. Data not used (Table 2).,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6,Glen (1955),Theta,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.15,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,2.16E-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7,Glen (1955),Eta,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.23,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,4.06E-08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8,Glen (1955),k,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.33,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,1.33E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
9,Glen (1955),j,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.36,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,2.17E-07,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10,Glen (1955),h,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.61,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,1.55E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
11,Glen (1955),i,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.62,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,1.51E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
12,Glen (1955),a,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.85,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,3.87E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
13,Glen (1955),b,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.87,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,3.55E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
14,Glen (1955),d,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.87,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,9.32E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
15,Glen (1955),f,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.87,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,6.12E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
16,Glen (1955),g,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.9,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,8.31E-06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
17,Glen (1955),c,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-0.02,-0.01,-0.03,"Samples immersed in a paraffin bath, which is immersed in a water-ice bath, the maximum variation of T in the paraffin bath is 0.03K (page 520).",D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.92,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,1.03E-05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18,Glen (1955),xii,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-1.5,-1,-2,Samples are immersed in a paraffin bath and placed in a cold chamber. The minimum variation of T is 0.5K (page 520).,D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.09,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,1.35E-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
19,Glen (1955),xi,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-1.7,-1.2,-2.2,Samples are immersed in a paraffin bath and placed in a cold chamber. The minimum variation of T is 0.5K (page 520).,D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.15,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,2.16E-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
20,Glen (1955),x,Constant load,Uniaxial compression,0,"Creep curves of strain as a function of time (Figs. 3-6). Temperature, sampe name, secondary minimum strain rate, and remarks summarized in a table 2.",N/A,YES,NO,Cylindrical,25.4 or 50.8,50.8 or 101.6,N/A,N/A,N/A,-1.3,-0.8,-1.8,Samples are immersed in a paraffin bath and placed in a cold chamber. The minimum variation of T is 0.5K (page 520).,D,1500,1000,2000,N/A,N/A,N/A,N/A,N/A,N/A,E,0.15,N/A,No correction for surface area expansion. But its effect should be low at seconday minimum.,N/A,E,4.63E-09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
